text,label
"Prime Minister of India is Narendra Modi",real
"President of India is Droupadi Murmu",real
"India won the Cricket World Cup 2023",real
"ISRO successfully launched Chandrayaan 3",real
"Sundar Pichai is the CEO of Google",real
"Ratan Tata is a respected Indian industrialist",real
"Actor Vijay is known as Thalapathy",real
"Ajith Kumar is called Thala by fans",real
"Taj Mahal is located in Agra",real
"India’s capital is New Delhi",real
"Elon Musk buys Google",fake
"India changes its national flag color",fake
"Virat Kohli joins politics",fake
"Amazon to buy entire Chennai city",fake
"Aliens landed in Tamil Nadu",fake
"Bill Gates becomes Prime Minister of India",fake
"Facebook merges with YouTube",fake
"India bans oxygen for one day",fake
"MS Dhoni opens space company on Mars",fake
"NASA confirms moon made of cheese",fake
